"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Liparis dennyi","Jordan & Starks, 1895","","marbled snailfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Liparidae","","","Liparis","dennyi","","","","native","SNR","","reported","unobserved","1995-02-23","Charlie Gibbs","PMLS","","","","","","",180028,"FIS"
"Liparis pulchellus","Ayres, 1855","","showy snailfish","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Liparidae","","","Liparis","pulchellus","","","","native","SNR","","confirmed","observed","1995-02-23","Andy Lamb","PMLS","","","2013-10-13","Peter Luckham","iNat:2976683","",223899,"FIS"
"Lirabuccinum dirum","(Reeve, 1846)","","dire whelk","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Buccinidae","","","Lirabuccinum","dirum","","","","native","unlisted","","confirmed","observed","1985-12-07","Andy Lamb","PMLS","","","2019-05-05","Kiara Ganon","iNat:24725394","",117642,"MOL"
"Littorina scutulata","Gould, 1849","","checkered periwinkle","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Littorininae","","Littorina","scutulata","","","","native","unlisted","","new 2015","observed","","","","","","2015-03-04","Andrew Simon","iNat:2566456","",69995,"MOL"
"Littorina sitkana","Philippi, 1846","","Sitka periwinkle","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Littorininae","","Littorina","sitkana","","","","native","unlisted","","new 2017","observed","","","","","","2017-02-23","Kathleen Buckley","iNat:5185500","",129298,"MOL"
"Lontra canadensis","(Schreber, 1777)","","North American river otter","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Caniformia","","Mustelidae","Mustelidae","","Lontra","canadensis","","","","native","S5 (2015)","","confirmed","observed","2011-05-14","Kent Brothers","VMS","","","2006-09-04","Shera Street","iNat:2635258","",41777,"MAM"
"Lophopanopeus bellus","(Stimpson, 1860)","","black-clawed crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Xanthoidea","Panopeidae","","","Lophopanopeus","bellus","","","","native","unlisted","","confirmed","observed","2007-10-21","Andy Lamb","PMLS","","","2016-04-08","Karolle Wall","iNat:2909657","",50818,"ART"
"Lottia digitalis","(Rathke, 1833)","","fingered limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","digitalis","","","","native","unlisted","","new 2016","observed","","","","","","2016-09-01","Andrew Simon","iNat:4017022","",64287,"MOL"
"Lottia pelta","(Rathke, 1833)","","shield limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","pelta","","","","native","unlisted","","new 2017","observed","","","","","","2017-04-10","Andrew Simon","iNat:5646967","",63243,"MOL"
"Lottia persona","(Rathke, 1833)","","mask limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","persona","","","","native","unlisted","","new 2014","observed","","","","","","2014-06-24","Michael Butler","iNat:38778846","",339143,"MOL"
"Lottia scutum","(Rathke, 1833)","","plate limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","scutum","","","","native","unlisted","","confirmed","observed","2006-06-30","Andy Lamb","PMLS","","","2016-08-21","Tyrel Froese","iNat:4004998","",129962,"MOL"
"Luidia foliolata","Grube, 1866","","sand star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Paxillosida","","","Luidiidae","","","Luidia","foliolata","","","","native","unlisted","","confirmed","observed","1959-12-11","Dan Quayle","RBCM","977-00454-001","1898300918","2023-07-30","Dave ""Zeuss"" Cochrane","iNat:175875913","",195859,"ECH"
"Lumpenus sagitta","Wilimovsky, 1956","","snake prickleback","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Lumpeninae","","Lumpenus","sagitta","","","","native","SNR","","new 2017","observed","","","","","","2017-05-29","Karolle Wall","iNat:7647298","",224164,"FIS"
"Lyonsia bracteata","(Gould, 1850)","","scaly lyonsia","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","","Lyonsia","bracteata","","","","native","unlisted","","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03305","1898276441","","","","",1118981,"MOL"
"Lyopsetta exilis","(Jordan & Gilbert, 1880)","","slender sole","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Pleuronectiformes","","","Pleuronectidae","Pleuronectinae","","Lyopsetta","exilis","","","","native","SNR","","confirmed","observed","2008-05-24","Jackson W.F. Chu","Chu (2010)","","","2007-10-23","Jackson W.F. Chu","iNat:59908556","",104926,"FIS"
"Macoma brota","Dall, 1916","","heavy macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","brota","","","","native","unlisted","","new 2016","observed","","","","","","2016-08-17","Andrew Simon","iNat:3910109","",504353,"MOL"
"Macoma calcarea","(Gmelin, 1791)","","chalky macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","calcarea","","","","native","unlisted","","reported","unobserved","1961-06-22","","RBCM","976-01146-008","1898275200","","","","",861604,"MOL"
"Macoma carlottensis","Whiteaves, 1880","","Charlotte macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","carlottensis","","","","native","unlisted","","reported","unobserved","1961-06-22","","RBCM","976-01146-009","1898266087","","","","",957354,"MOL"
"Macoma nasuta","(Conrad, 1857)","","bent-nose macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","nasuta","","","","native","unlisted","","confirmed","observed","2009-11-14","Andy Lamb","PMLS","","","2016-08-21","Tyrel Froese","iNat:4005328","",117612,"MOL"
"Macoma obliqua","(J. Sowerby, 1817)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","obliqua","","","","native","unlisted","","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-002","1898316814","","","","",861605,"MOL"
"Magallana gigas","(Thunberg, 1793)","","Pacific oyster","Animalia","Mollusca","","","Bivalvia","Pteriomorphia","","Ostreida","","Ostreoidea","Ostreidae","","","Magallana","gigas","","","","non-native","unlisted","","new 2016","observed","","","","","","2016-08-17","Andrew Simon","iNat:3910078","",605992,"MOL"
"Margarites pupillus","(Gould, 1849)","","puppet margarite","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Margaritidae","","","Margarites","pupillus","","","","native","unlisted","","confirmed","observed","2009-02-08","Andy Lamb","PMLS","","","2017-05-14","Scott Gilmore","iNat:6223678","",129922,"MOL"
"Marsenina rhombica","(Dall, 1871)","","marbled lamellarid","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","","Marsenina","rhombica","","","","native","unlisted","","reported","unobserved","2016-02-07","Andy Lamb","PMLS","","","","","","",337741,"MOL"
"Marsenina stearnsii","(Dall, 1871)","","stearn's ear shell","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","","Marsenina","stearnsii","","","","native","unlisted","","new 2016","observed","","","","","","2016-04-07","Karolle Wall","iNat:2908642","",53555,"MOL"
"Mediaster aequalis","Stimpson, 1857","","vermilion star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Goniasteridae","Mediasterinae","","Mediaster","aequalis","","","","native","unlisted","","confirmed","observed","1971-08-21","Andy Lamb","PMLS","","","2008-05-21","Jackson W.F. Chu","iNat:116733054","",293174,"ECH"
"Megalorchestia pugettensis","Dana, 1852","","Puget Sound beach flea","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Talidtroidea","Talitridae","","","Megalorchestia","pugettensis","","","","native","unlisted","","new 2018","observed","","","","","","2018-08-01","Andrew Simon","iNat:15038969","",345335,"ART"
"Megaptera novaeangliae","(Borowski, 1781)","","humpback whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","","","Megaptera","novaeangliae","","","","native","S3 (2006)","","confirmed","observed","2001-04-20","Amy Rowley","BCCSN","","","2017-06-06","Andrew Simon","iNat:6532303","",41566,"MAM"
"Megayoldia thraciaeformis","(Storer, 1838)","","broad yoldia","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","","Megayoldia","thraciaeformis","","","","native","unlisted","","reported","unobserved","1942-06-01","Dan Quayle","RBCM","991-00500-001","1898270739","","","","",957355,"MOL"
"Melanella micans","(Carpenter, 1865)","","shining balcis","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Vanikoroidea","Eulimidae","","","Melanella","micans","","","","native","unlisted","","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03323-001","1898291795","","","","",733259,"MOL"
"Melanochlamys diomedea","(Bergh, 1894)","","Diomedes aglajid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Aglajidae","","","Melanochlamys","diomedea","","","","native","unlisted","","confirmed","observed","1975-06-17","Philip Lambert","RBCM","975-00224-004","1898274481","2018-05-29","Karolle Wall","iNat:12938503","reported as (syn) Aglaja diomedea",345334,"MOL"
"Melibe leonina","(Gould, 1852)","","hooded nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Tethydidae","","","Melibe","leonina","","","","native","unlisted","","confirmed","observed","1994-10-07","Andy Lamb","PMLS","","","2006-10-06","jroderick","iNat:19274280","",48455,"MOL"
"Melicertum octocostatum","(M. Sars, 1835)","","eight-strand jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Melicertidae","","","Melicertum","octocostatum","","","","native","unlisted","","reported","unobserved","2009-04-13","Andy Lamb","PMLS","","","","","","",550154,"CNI"
"Membranipora villosa","Hincks, 1880","","kelp-encrusting bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Cheilostomatida","Malacostegina","Membraniporoidea","Membraniporidae","","","Membranipora","villosa","","","","native","unlisted","","confirmed","observed","1993-08-16","Andy Lamb","PMLS","","","2016-08-17","Andrew Simon","iNat:3910076","reported as Membranipora serrilamella (synonymous)",360867,"LOP"
"Mesocentrotus franciscanus","(A. Agassiz, 1863)","","red sea urchin","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea","Echinacea","Camarodonta","","Odontophora","Strongylocentrotidae","","","Mesocentrotus","franciscanus","","","","native","unlisted","","confirmed","observed","1969-02-21","Andy Lamb","PMLS","","","2013-07-23","Karolle Wall","iNat:4015169","",992313,"ECH"
"Metacaprella kennerlyi","(Stimpson, 1864)","","skeleton shrimp","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Caprelloidea","Caprellidae","Caprellinae","","Metacaprella","kennerlyi","","","","","","","new 2023","observed","","","","","","2023-06-04","Dave ""Zeuss"" Cochrane","iNat:165761430","",117676,"ART"
"Metacarcinus gracilis","(Dana, 1852)","","graceful crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Cancroidea","Cancridae","","","Metacarcinus","gracilis","","","","native","unlisted","","confirmed","observed","1973-06-14","Philip Lambert","RBCM","973-00137-019","1898314378","2016-05-06","Karolle Wall","iNat:3958200","",116721,"ART"
"Metacarcinus magister","(Dana, 1852)","","dungeness crab","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Cancroidea","Cancridae","","","Metacarcinus","magister","","","","native","unlisted","","confirmed","observed","1996-05-29","Charlie Gibbs","PMLS","","","2018-05-29","Karolle Wall","iNat:12970642","",63697,"ART"
"Metacrangon munita","(Dana, 1852)","","coastal spinyhead","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Crangonoidea","Crangonidae","","","Metacrangon","munita","","","","native","unlisted","","reported","unobserved","1928-07-18","","RBCM","015-00224-001","1898292947","","","","",459610,"ART"
"Metandrocarpa taylori","Huntsman, 1912","","orange social tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Styelidae","","","Metandrocarpa","taylori","","","","native","unlisted","","confirmed","observed","1985-07-29","Andy Lamb","PMLS","","","2019-05-04","Isabelle M. Côté","iNat:129284421","",371195,"TUN"
"Metridium farcimen","(Brandt, 1835)","","giant plumose anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Metridioidea","Metridiidae","","","Metridium","farcimen","","","","native","unlisted","","confirmed","observed","1973-09-21","Andy Lamb","PMLS","","","2009-10-03","Jackson W.F. Chu","iNat:61341028","",51812,"CNI"
"Metridium senile","(Linnaeus, 1761)","","short plumose anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Metridioidea","Metridiidae","","","Metridium","senile","","","","native","unlisted","","confirmed","observed","1968-08-02","Andy Lamb","PMLS","","","2017-04-30","Andrew Simon","iNat:6047558","",49071,"CNI"
"Micrura verrilli","Coe, 1901","","purple ribbon worm","Animalia","Nemertea","","","Pilidiophora","","","Heteronemertea","","","Lineidae","","","Micrura","verrilli","","","","native","unlisted","","reported","unobserved","2006-09-28","Andy Lamb","PMLS","","","","","","",117598,"WOR"
"Mitrella gausapata","(Gould, 1850)","","sea snail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Mitrella","gausapata","","","","native","unlisted","","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03328","1898293242","","","","",339169,"MOL"
"Mitrocoma cellularia","(Agassiz, 1862)","","cross jellyfish","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Mitrocomidae","","","Mitrocoma","cellularia","","","","native","unlisted","","confirmed","observed","1928-07-20","Fisheries Research Board of Canada, Nanaimo","CMN","CMNI 2012-0102","","2020-05-08","Andrew Simon","iNat:45326871","",493918,"CNI"
"Mitrocomella polydiademata","(Romanes, 1876)","","","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Mitrocomidae","","","Mitrocomella","polydiademata","","","","","","","new 2021","observed","","","","","","2021-04-18","Andrew Simon","iNat:74472263","",531848,"CNI"
"Modiolus modiolus","(Linnaeus, 1758)","","northern horsemussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","","Modiolus","modiolus","","","","native","unlisted","","reported","unobserved","2005-12-10","Andy Lamb","PMLS","","","","","","",123772,"MOL"
"Modiolus rectus","(Conrad, 1837)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","","Modiolus","rectus","","","","native","unlisted","","reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-015","1898316253","","","","",196218,"MOL"
"Molgula pacifica","(Huntsman, 1912)","","globular ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Molgulidae","","","Molgula","pacifica","","","","native","unlisted","","reported","unobserved","1993-08-16","Andy Lamb","PMLS","","","","","","",800031,"TUN"
"Mopalia ciliata","(G. B. Sowerby II, 1840)","","northern hairy chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","ciliata","","","","native","unlisted","","confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","","","2019-05-04","Isabelle M. Côté","iNat:129151035","Formerly reported as Mopalia kennerelyi",360858,"MOL"
"Mopalia hindsii","(Reeve, 1847)","","Hind's mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","hindsii","","","","native","unlisted","","confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","","","2009-07-23","Karolle Wall","iNat:97205562","",51725,"MOL"
"Mopalia kennerleyi","Carpenter, 1864","","northern hairy chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","kennerleyi","","","","native","unlisted","","reported","unobserved","1999-07-31","Charlie Gibbs","PMLS","","","","","","",360858,"MOL"
"Mopalia lignosa","(Gould, 1846)","","woody chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","lignosa","","","","native","unlisted","","confirmed","observed","1986-09-30","","RBCM","986-00197-070","","2018-08-10","Karolle Wall","iNat:15726095","",51724,"MOL"
"Mopalia muscosa","(Gould, 1846)","","mossy chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","muscosa","","","","native","unlisted","","confirmed","observed","2008-10-10","Andy Lamb","PMLS","","","2017-05-26","Kris Krüg","iNat:6371640","",117633,"MOL"
"Mopalia phorminx","Berry, 1919","","feathery mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","phorminx","","","","native","unlisted","","reported","unobserved","2019-03-17","Andy Lamb","PMLS","","","","","","",977159,"MOL"
"Mopalia sinuata","Carpenter, 1864","","dwarf hairy mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","sinuata","","","","native","unlisted","","reported","unobserved","2019-03-17","Andy Lamb","PMLS","","","","","","",429863,"MOL"
"Mopalia spectabilis","I.M. Cowan & G.M. Cowan, 1977","","red-flecked mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","spectabilis","","","","native","unlisted","","confirmed","observed","1999-05-04","Andy Lamb","PMLS","","","2016-05-25","Karolle Wall","iNat:4052033","",364026,"MOL"
"Mopalia swanii","Carpenter, 1864","","Swan's mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","swanii","","","","native","unlisted","","confirmed","observed","1986-09-30","","RBCM","986-00197-071","","2021-12-05","Andrew Simon","iNat:102592160","",339904,"MOL"
"Mopalia vespertina","(Gould, 1852)","","smooth mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","vespertina","","","","native","unlisted","","confirmed","observed","1973-04-20","Ian Mc Taggart-Cowan","RBCM","988-00095-001","","2017-05-26","Kris Krüg","iNat:6390299","",364027,"MOL"
"Muggiaea sp.","","","dwarf tailed jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Siphonophorae","Calycophorae","","Diphyidae","Diphyinae","","Muggiaea","","","","","","","","reported","unobserved","2009-04-11","Andy Lamb","PMLS","","","","","","",201710,"CNI"
"Munida quadrispina","Benedict, 1902","","squat lobster","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Galatheoidea","Munididae","","","Munida","quadrispina","","","","native","unlisted","","confirmed","observed","2008-05-21","Jackson W.F. Chu","Chu (2010)","","","2008-05-24","Jackson W.F. Chu","iNat:60468460","",334674,"ART"
"Musculus discors","(Linnaeus, 1767)","","discord mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Musculinae","","Musculus","discors","","","","native","unlisted","","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00346","1898284913","","","","",482998,"MOL"
"Musculus niger","(J.E. Gray, 1824)","","black mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae ","Musculinae","","Musculus","niger","","","","native","unlisted","","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00347","1898295371","","","","",483000,"MOL"
"Mya arenaria","Linnaeus, 1758","","soft-shelled clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","","Mya","arenaria","","","","non-native","unlisted","","new 2016","observed","","","","","","2016-08-17","Andrew Simon","iNat:3910084","",81634,"MOL"
"Mya truncata","Linnaeus, 1758","","truncated softshell-clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","","Mya","truncata","","","","native","unlisted","","reported","unobserved","2008-04-27","Andy Lamb","PMLS","","","","","","",447416,"MOL"
"Mycale (Aegogropila) adhaerens","(Lambe, 1893)","","smooth scallop sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Mycalidae","","","Mycale","adhaerens","","","","native","unlisted","","reported","unobserved","1999-07-31","Charlie Gibbs","PMLS","","","","","","",256010,"POR"
"Myosotella myosotis","(Draparnaud, 1801)","","mouse-eared snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Eupulmonata","Ellobiida","","Ellobioidea","Ellobiidae","Pythiinae","","Myosotella","myosotis","","","","non-native","unlisted","","new 2016","observed","","","","","","2016-09-01","Andrew Simon","iNat:4017005","",225386,"MOL"
"Myoxocephalus polyacanthocephalus","(Pallas, 1814)","","great sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Cottidae","","","Myoxocephalus","polyacanthocephalus","","","","native","SNR","","confirmed","observed","1982-06-09","K.D. Genereux","CMN","CMNFI 1985-0087.4","","2018-08-10","Karolle Wall","iNat:15702534","",47640,"FIS"
"Mytilimeria nuttalli","Conrad, 1837","","bladderclam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","","Mytilimeria","nuttalli","","","","native","unlisted","","reported","unobserved","1985-07-29","Andy Lamb","PMLS","","","","","","",873896,"MOL"
"Mytilus edulis complex","","","blue mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Mytilinae","","Mytilus","edulis","","","","native","unlisted","","confirmed","observed","1982-05-28","Philip Lambert","RBCM","982-00155-001","1898293540","2015-08-05","Andrew Simon","iNat:2599512","",62807,"MOL"
"Myxicola sp.A","","","petite slime-tube feather-duster","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Sabellidae","Sabellinae","","Myxicola","","","","","native","unlisted","","reported","unobserved","2018-06-19","Andy Lamb","PMLS","","","","","","Myxicola sp.A = ""Myxicola aff. aesthetica”; In Europe, M. infundibulum is found in soft-sediments and M. aesthetica on docks & hard-surfaces. However, specimens from the NEP are morphologically and genetically different. In the past, several species of Myxicola were described from California, Puget Sound, and Alaska. This material needs to be re-examined.",492594,"WOR"
"Myxicola sp.B","","","slime-tube feather-duster","Animalia","Annelida","","","Polychaeta","Sedentaria","","Sabellida","","","Sabellidae","Sabellinae","","Myxicola","","","","","native","unlisted","","confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","","","2019-05-04","Isabelle M. Côté","iNat:129284413","Myxicola sp.B = ""Myxicola aff. infundibulum”; In Europe, M. infundibulum is found in soft-sediments and M. aesthetica on docks & hard-surfaces. However, specimens from the NEP are morphologically and genetically different. In the past, several species of Myxicola were described from California, Puget Sound, and Alaska. This material needs to be re-examined.",49533,"WOR"
"Myxilla (Myxilla) incrustans","(Johnston, 1842)","","rough scallop sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Myxillidae","","","Myxilla","incrustans","","","","native","unlisted","","confirmed","observed","1973-06-14","Philip Lambert","RBCM","973-00137-003","1898298302","1978-02-19","Neil McDaniel","iNat:170665045","",256019,"POR"
"Myxilla (Myxilla) lacunosa","Lambe, 1893","","sulphur sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Myxillidae","","","Myxilla","lacunosa","","","","native","unlisted","","reported","unobserved","1973-09-20","Andy Lamb","PMLS","","","","","","",459826,"POR"
"Nanomia bijuga","(Delle Chiaje, 1844)","","tailed jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Siphonophorae","Physonectae","","Agalmatidae","","","Nanomia","bijuga","","","","native","unlisted","","confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","","","2014-09-18","Karolle Wall","iNat:4052157","",506580,"CNI"
"Nassarius mendicus","(Gould, 1850)","","western lean nassa","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Nassariidae","Nassariinae","","Nassarius","mendicus","","","","native","unlisted","","confirmed","observed","2018-06-19","Andy Lamb","PMLS","","","2021-03-13","Andrew Simon","iNat:71173034","",129938,"MOL"
"Nautichthys oculofasciatus","(Girard, 1858)","","sailfin sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Hemitripteridae","","","Nautichthys","oculofasciatus","","","","native","SNR","","confirmed","observed","1995-02-24","Andy Lamb","PMLS","","","2015-04-15","Karolle Wall","iNat:3706257","",183019,"FIS"
"Neoamphitrite robusta","(Johnson, 1901)","","","Animalia","Annelida","","","Polychaeta","Sedentaria","","Terebellida","Terebelliformia","","Terebellidae","Terebellinae","","Neoamphitrite","robusta","","","","","","","new 2022","observed","","","","","","2022-11-26","Alex Niese","iNat:143065543","",343700,"WOR"
"Neogale vison","(Schreber, 1777)","","American mink","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Caniformia","","Mustelidae","Mustelidae","","Neogale","vison","","","","native","S5 (2015)","","confirmed","observed","2011-05-14","Kent Brothers","VMS","","","2017-05-28","Ayla Malcolm","iNat:6485976","",74758,"MAM"
"Neoleprea spiralis","(Johnson, 1901)","","spaghetti worm","Animalia","Annelida","","","Polychaeta","Sedentaria","","Terebellida","Terebellomorpha","","Terebellidae","Terebellinae","","Neoleprea","spiralis","","","","native","unlisted","","reported","unobserved","1986-09-30","","RBCM","986-00197-015","1898316402","","","","",1136118,"WOR"
